[12:18:41] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:18:42] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:18:42] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:18:42] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:18:42] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:18:42] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:18:42] [ServerMain/INFO]: Reloading ResourceManager: Default
[12:18:43] [Worker-Main-2/INFO]: Loaded 7 recipes
[12:18:44] [Worker-Main-2/INFO]: Loaded 1141 advancements
[12:18:46] [Server thread/INFO]: Starting minecraft server version 1.18.1
[12:18:46] [Server thread/INFO]: Loading properties
[12:18:46] [Server thread/INFO]: Default game type: SURVIVAL
[12:18:46] [Server thread/INFO]: Generating keypair
[12:18:46] [Server thread/INFO]: Starting Minecraft server on *:512
[12:18:46] [Server thread/INFO]: Using epoll channel type
[12:18:46] [Server thread/INFO]: Preparing level "world"
[12:18:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:18:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:18:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:18:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:18:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:18:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:19:20] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[12:19:22] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[12:19:22] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[12:19:22] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[12:19:22] [Server thread/INFO]: Time elapsed: 36189 ms
[12:19:22] [Server thread/INFO]: Done (36.276s)! For help, type "help"
